est_gap,est_ratio,comp_gap,comp_ratio,data_rel,dist,mono
60.0,0.29,1,1,1,pareto,mono_cut
60.0,0.29,1,1,1,pareto,non_mono_cut
2.0,0.91,2,2,4,pareto,mono_cut
29.0,0.59,1,2,2,beta,no_cut
47.0,0.37,2,1,3,beta,no_cut
40.0,0.51,2,2,4,pareto,no_cut
47.0,0.37,2,1,3,beta,mono_cut
21.0,0.68,1,1,1,beta,non_mono_cut
2.0,0.92,1,1,1,pareto,mono_cut
8.0,0.86,1,1,1,beta,no_cut
2.0,0.91,2,2,4,pareto,no_cut
50.0,0.5,1,1,0,ac,no_cut
40.0,0.51,2,2,4,pareto,non_mono_cut
15.0,0.66,1,2,2,pareto,no_cut
28.0,0.3,2,2,4,beta,no_cut
21.0,0.68,1,1,1,beta,mono_cut
40.0,0.51,2,2,4,pareto,mono_cut
23.0,0.56,2,1,3,beta,mono_cut
21.0,0.52,2,1,3,pareto,mono_cut
15.0,0.66,1,2,2,pareto,mono_cut
9.0,0.77,1,2,2,pareto,mono_cut
60.0,0.29,1,1,1,pareto,no_cut
21.0,0.6,2,1,3,pareto,no_cut
13.0,0.78,2,2,4,beta,non_mono_cut
21.0,0.52,2,1,3,pareto,no_cut
2.0,0.92,1,1,1,pareto,non_mono_cut
2.0,0.92,1,1,1,pareto,no_cut
35.0,0.34,1,2,2,beta,mono_cut
21.0,0.6,2,1,3,pareto,mono_cut
9.0,0.77,1,2,2,pareto,no_cut
8.0,0.86,1,1,1,beta,non_mono_cut
28.0,0.3,2,2,4,beta,mono_cut
29.0,0.59,1,2,2,beta,mono_cut
21.0,0.68,1,1,1,beta,no_cut
13.0,0.78,2,2,4,beta,mono_cut
40.0,0.56,1,1,0,ac,no_cut
23.0,0.56,2,1,3,beta,no_cut
28.0,0.3,2,2,4,beta,non_mono_cut
35.0,0.34,1,2,2,beta,no_cut
8.0,0.86,1,1,1,beta,mono_cut
2.0,0.91,2,2,4,pareto,non_mono_cut
13.0,0.78,2,2,4,beta,no_cut
